ID_TRAMIT;NOM_TRAMIT;DESCRIPCIO_TRAMIT;TEMA;CODI_AMBIT;DESCRIPCIO_AMBIT;IMMEDIAT;GRATUIT;REQUISITS;NORMATIVA_APLICABLE;RESPONSABLE;ENLLACOS_RELACIONATS;DATA_CREACIO;PARAULES_CLAU;CANAL_TELEMATIC;CANAL_PRSENCIAL;CANAL_TELEFONIC;CANAL_MOBIL;CANAL_QUIOSC;IDIOMA
***016655;Vista d expedient de disciplina d obres;Sol·licitud de vista d¿un expedient de disciplina urbanística incoat en relació  amb unes obres o usos il·legals. Qui ho pot demanar? Qualsevol persona física o jurídica que sigui part interessada a l¿expedient. Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Info;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada (es convenient que la sol·licitud aporti el número de  telèfon de l¿interessat) ;Normativa Llei 30/1992 de Règim Jurídic de les Administracions Públiques i del  Procediment Administratiu Comú ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***016655#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***016654;Recurs de reposició a un expedient de disciplina d obres;Recurs   de   potestatiu   de   reposició   en   relació   amb  una   resolució   d¿un  expedient de disciplina d¿obres. Qui ho pot demanar? Qualsevol persona física o jurídica que sigui part interessada a l¿expedient. Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Info;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada. ;Normativa Llei 30/1992 de Règim Jurídic de les Administracions Públiques i del  Procediment Administratiu Comú ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***016654#wlp_detall_tramit;15/07/2010;;;S;N;N;;Català 
***001695;Inspecció en matèria de disciplina d activitat;Denunciar una activitat il·legal per la manca de llicència o perquè l¿activitat no  s¿ajusta a la llicència concedida. Qui ho pot demanar? Qualsevol persona física o jurídica Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Informació Urbanística Impresos model Cap Docu;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada ;Normativa Llei de nova creació que resta subjecte a publicació en breu,  Decret  179/1995 (ROAS), Llei 11/2009, Ordenança Municipal d¿activitat i  d¿intervenció ambiental de Badalona, Decret 239/1999 i Llei 16/2009 de  centres de culte. ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001695#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***001193;Préstec de llibres;Consulta del catàleg de llibres a les biblioteques i reserva de llibres. La  reserva també es pot fer per telèfon Qui ho pot demanar? Tothom Com es pot fer? Presencialment ¿ Biblioteques Impresos model Cap Documentació que cal aportar Carnet de préstec  Normativa Preu Gratuït Organisme responsable Serveis Territorials Observacions </IdcteDocument> ;;;;;S;Documentació que cal aportar Carnet de préstec  ;Normativa ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001193#wlp_detall_tramit;29/06/2010;;;N;N;N;;Català 
***015721;Vista d expedients de disciplina urbanística;Sol·licitud per a consultar expedients amb la finalitat de comprovar o obtenir  dades d¿edificis construïts Qui ho pot demanar? Qualsevol persona física o jurídica que sigui part interessada en l¿expedient Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística Correu electrònic ¿ Oficina d Informació Urbanística Impresos model Cap Documentació que cal aportar ¿ Sol;;0029;urbanisme;;N;Documentació que cal aportar ¿ Sol·licitud normalitzada  ¿ Qualsevol altre documentació que ajudi a la identificació de l¿edifici   ;Normativa  ¿ Ordenances fiscals  ¿ Ordenances municipals d¿edificació del Pla General Metropolità (art.  29)  ¿ Decret 179/1995, de 13 de juliol, pel qual s¿aprova el Reglament  d¿obres, activitats i serveis dels ens locals  ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015721#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***014238;Preinscripció de l alumnat als centres educatius en els ensenyaments sufragats amb fons públics d arts plàstiques i disseny (cicles formatius);Sol· li ci tud  d¿una  plaça  escolar,   en  un  cent re  públi c  o  pri vat  concert at ,   en  el  ni vell educat iu d¿art s plàsti ques i di sseny (ci cles format ius).      Procediment.  L establert   en   la   normat iva   vigent   emesa   pel   Depart ament   d Educaci ó   de   la  Generali tat de Cat alunya, Qui ho pot demanar? L¿alumne  si  és major  d¿edat  o be  el  pare,  mare  o t utors legals de  l¿alumne,  en  el cas que sigui  menor d¿edat . Com es pot fer? Presencialment ¿ Escola d Art  Pau Gargallo ¿ OME.  Ofi cina Muni ci pal d¿Educaci ó ¿ Servei Terri tori al Ba;;0010;educació;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014238#wlp_detall_tramit;16/06/2010;;;S;N;N;;Català 
***002808;Confirmació de residència pels estrangers que no han de renovar cada dos anys;;;0019;padró d habitants i Cens Electoral;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***002808#wlp_detall_tramit;23/11/2016;;;S;N;N;;Català 
***015581;Ús d un espai específic de les instal.lacions dels gimnasos municipals per realitzar activitats esportives diverses;/Idctecreation_date>  <IdcteCreator>Writer</IdcteCreator>  <Idctepublisher>OpenOffice.org 3.1</Idctepublisher>   Serveis i Tràmits En què consisteix el tràmit? Sol·licitud  d¿ús   d¿un   espai   específic   de   les   instal·lacions   dels   gimnasos  municipals  per  realitzar  activitats  esportives  diverses,  l¿organització  de  les  quals és iniciativa i responsabilitat del sol·licitant. L¿organitzador  d¿aquest  tipus  d¿activitats  físiques  o  esportives,  per  la  seva  impartició ha de comptar amb un titula/ada d¿esport que dirigirà les sessions.  Així mateix, ha de subscriure un contracte d¿assegurança de responsabilitat  civil pels danys eventuals que es puguin ocasionar als usuaris, als practicants  o qualsevol altra persona com a conseqüència de l¿activitat esportiva, que  cobreixi els imports mínims  que estableix la normativa vigent en cada cas. Qui ho pot demanar? Qualsevol persona física usuari indi;;0011;esports;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015581#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***015355;Carnet estudiant ISIC;Sol·licitud del CARNET D¿ESTUDIANT INTERNACIONAL (ISIC) És un servei de la International Student Identity Card Association, una organització  sense ànim de lucre associada a la International Student Travel Confederation ISTC.  El carnet ISIC acredita com a estudiant a qualsevol país del món. Està reconegut  per la Unesco i la Comunitat Europea i es pot gaudir d avantatges i descomptes  arreu del món.  Qui ho pot demanar? Estudiants a partir de 12 anys que cursin qualsevol dels ensenyaments del sistema  educatiu (ESO, FP, Batxillerat, estudis universitaris, etc.) o que estiguin matriculats,  a temps complet, en un curs reconegut oficialment. Validesa Curs acadèmic vigent (de setembre fins a desembre de l¿any següent;;0014;joventut;;N; ;Normativa Enllaç annex. Enllaços d interès Enllaç annex. ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015355#wlp_detall_tramit;20/07/2015;;;S;N;N;;Català 
***016060;Tramitació del passi metropolità del transport (carnet rosa);port  amb  la  qual  es pot  viatjar  gratuïtament  o amb  tarifa  reduïda,  segons el cas, en: - Línies d¿autobús del Transport Metropolità de Barcelona (TMB), Ferrocarrils de  la Generalitat (dins de la 1a corona metropolitana), Metro, Trambaix, Trambesòs i  Funicular de Montjuïc. - Servei  públic  de  transport   especial  per  a  persones  amb  mobilitat   reduïda,  excepte quan el servei es fa en taxi. - Serveis regulars, dins de l¿Àmbit de l¿Entitat Metropolitana de Transport (EMT),  de les empreses següents: Rugsal, Authosa, Transports Lydia, Rosanbus Oliveras,  Soler i Sauret (Urbans de Sant Feliu i JustMetro), Mohn i TCC2. Qui ho pot demanar? Persones empadronades a Badalona i: - majors de 62 anys. - Que   tingui   reconegut   un   grau   de   disminució   d¿un   33%,   com   a   mínim.   El  certificat per acreditar el grau de disminució s¿ha de demanar al Centre d¿Atenció al  Disminu;;0024;serveis socials;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***016060#wlp_detall_tramit;30/06/2010;;;N;N;N;;Català 
***001616;Denúncies per fets delictius;Denúncia per un fet delictiu. Qui ho pot demanar? Qualsevol ciutadà implicat i/o perjudicat pel fet a denunciar. Com es pot fer? Presencialment ¿ Prefectura de la Guàrdia Urbana, Oficina d Atenció al Ciutadà  Telemàticament ¿ Denúncia per Internet (GENCAT) No  es pot denunciar  per aquest  sistema  ;;0022;seguretat;;S;Documentació que cal aportar DNI, passaport o qualsevol altre document oficial identificatiu. Documentació afecta als bens materials implicats (vehicles, factures, etc.) ;Normativa ¿ Codi Penal  ¿ Llei d enjudiciament criminal  ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001616#wlp_detall_tramit;30/06/2010;;;S;N;N;;Català 
***014246;Tarimes i altres infraestructures per als centres escolars públics;Procediment.  Sol· li ci tud   del   servei   est àndard   grat uït   consi st ent   en   una   t arima   de   25m2  amb escaleta,  si  cal, per garant ir la seguret at , mi tja dot zena de t anques. Qui ho pot demanar? La  di recci ó del  centre docent  en quali tat de  presidenta  del  consell  escolar  del  centre.    Com es pot fer? Correu elect rònic ¿ Departament  d¿Educaci ó Impresos model Documentació que cal aportar No  cal document ació Normativa Preu Grat;;;;;N;Documentació que cal aportar No  cal document ació ;Normativa ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014246#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***014248;Formació per a pares i mares d alumnes;Procediment.  L¿object iu   d¿aquest a   act uació   és   consoli dar   un   programa   de   formaci ó   per   a  mares i pares basat  en el debat  i en la  demanda  de  les pròpi es associ acions  de mares i pares de la ciutat. Qui ho pot demanar? Associaci ó de Mares i Pares de cent res educat ius de  la ciutat  , preferent ment  centres públi cs. Com es pot fer? Per t elèfon  ¿ Departament  d¿Educaci ó  Correu elect rònic ¿ Departament  d¿Educaci ó  Les consult es seran ateses durant  t ot l;;0010;educació;;N;Documentació que cal aportar No  es requereix ;Normativa ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014248#wlp_detall_tramit;24/08/2010;;;S;S;S;;Català 
***014241;Preinscripció de l alumnat als centres educatius en els ensenyaments sufragats amb fons públics d educació d adults;Sol· li ci tud  d¿una  plaça  escolar  per  a cursar  formació  d¿adult s,  t ant  en est udi s  reglats com no reglat s.   Procediment.  L establert   en   la   normat iva   vigent   emesa   pel   Depart ament   d Educaci ó   de   la  Generali tat de Cat alunya, Qui ho pot demanar? L¿alumne  si  és major  d¿edat  o be  el  pare,  mare  o t utors legals de  l¿alumne,  en  el cas que sigui  menor d¿edat . Per   accedi r   l¿educació   de   persones   adultes   cal   tenir   més   de   18   anys   (o  complir-los l¿any en què  s¿i;;0010;educació;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014241#wlp_detall_tramit;25/06/2010;;;S;N;N;;Català 
***015349;Ús de les instal.lacions esportives municipals per desenvolupar activitats puntuals;Sol·licitud d¿ús de les instal·lacions municipals esportives per desenvolupar  diferents activitats de caràcter puntual amb caràcter esportiu o no esportiu,  en una data concreta. En   el   cas   d¿activitats   físiques   o   esportives,   l¿organitzador   per   a   la   seva  impartició ha de comptar amb un titula/ada d¿esport que dirigirà les sessions. En el cas d¿activitats no esportives, consistents en actes especials (festivals,  concerts,   espectacles...),   el   sol·licitant   s¿haurà   d¿ajustar   als   requisits  següents: 1. La sol·licitud s¿haurà de presentar amb una antelació mínima de 30  dies a la data prevista de celebració. 2. A més dels requisits normals la sol·licitud haurà d¿especificar: a) les característiques de l¿activitat b) el nombre aproximat de persones que hi poden assistir c) els preus de l¿entrada, en cas que l¿acte no sigui gratuït d) el pressupost aproximat de l¿activitat Així   mateix,   tant   si   es   tracta   d¿activitats   esportives   com   extraesportives,  l¿organització ha de subscriure un contracte d¿assegurança de responsabilitat  civil pels danys eventuals que es puguin ocasionar als usuaris, als practicants  o qualsevol altra persona com a conseqüència de l¿activitat, que cobreixi els  imports mínims que estableix la normativa vigent en cada cas. Qui ho pot demanar? Qualsevol persona física usuari individual, i qualsevol persona jurídica, amb  finalitats   esportives   o   no,   amb   ànim   de   lucre   o   no,   com   ara   entitats,  associacions, fundacions, centres educatius d¿infantil, primària, secundària;;0011;esports;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015349#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***014245;Espais i pistes esportives dels centres escolars públics fora del horari lectiu;Procediment Sol· li ci tud  per  a  l¿ús  social  d¿edi ficis  i  instal· lacions  de  les  escoles  públi ques  el manteni ment , de les quals, depèn de l¿Ajunt ament.     Qui ho pot demanar? Els  col·lect ius  i  enti tats  que  organi tzin   acti vi tats  sense  afany  de  lucre  i  que  promouen   els  valors   i   acti tuds   posi ti ves   de   caire  educati u,  cult ural,   artísti c,  cívic i/o esporti u. Com es pot fer? Presencial;;;;;N;Documentació que cal aportar Còpi a   acredit at iva,   a   nom   del   sol·licit ant ,   de   la   pòli ssa   d¿assegurança   de  responsabilit at ci vi l que cobrei xi les act ivit at s. ;Normativa Llei 12/2009,  de 10 de juliol, d¿Educació Reglament   de   l¿ús   soci al   dels   edificis   i   instal· lacions   dels   centres   públi cs  d¿educació infanti l i pri mària. ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014245#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***016321;Servei d¿inscripció al plenari del Consell de Ciutat;uficient, poder inscriure les persones que volen assistir  al plenari del Consell de Ciutat. Qui ho pot demanar? El  Consell  de Ciutat  serà  format  per  representants  de les  associacions inscrites al  Registre  Municipal d¿Entitats, així com dels diferents agents socials: empresaris, comerciants, col·legis  professionals,   representants   d¿altres   departaments   d¿altres   admi;;;;;S; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***016321#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***002809;Modificació de dades personals al padró municipal d habitants;Modificació   d¿alguna   dada   d¿inscripció   en   el   padró   municipal   d habitants  diferent  de  l¿adreça    (cognoms,  noms,  document  d¿identitat,  lloc  i  data de  naixement, nivell d¿estudis, nacionalitat). Qui ho pot demanar? Qualsevol persona física major d¿edat que resideixi i estigui empadronada a  la ciutat de Badalona. En el cas de menors d¿edat o persones incapacitades legalment, el sol·licitant  ha de ser el seu representant legal (pare, mare o tutor legal). Com es pot fer? Presencialment ¿ Departament  d¿Atenció;;0019;padró d habitants i Cens Electoral;;N;Documentació que cal aportar ¿ Original del document d¿identitat on figurin les dades objecte de correcció.  Si es tracta del nivell d¿estudis, el document que ho indiqui, en cas de  disposar-ne. ¿ En el cas de modificació de dades de menors, a més a més, s¿haurà de  presentar el llibre de família o certificat de naixement (traduït legalment al  català  o  castellà,  si  s¿escau)  i  també  el  document  d¿identitat  del  pare,  mare o representant legal. ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***002809#wlp_detall_tramit;23/11/2016;;;S;N;N;;Català 
***015378;Permuta de personal funcionari;Sol·licitud de personal funcionari de carrera en servei en actiu en una altra  administració de permutar amb una funcionari de carrera en servei en actiu  de l¿Ajuntament de Badalona.  Qui ho pot demanar? Qualsevol  persona  funcionari  de  carrera  en  servei  en  actiu  en  una  altra  administració, amb destinació definitiva en aquella d¿un mínim de dos anys,  que li manquin més de tres anys per a la seva jubilació.  Com es pot fer? Presencialment ;;;;;S;Documentació que cal aportar Instància   i   documentació   acreditativa   de   les   condicions   exigides   per   la  normativa . ;Normativa general  ¿ Llei 7/2007, de 12 d¿abril de l¿Estatut Bàsic de l¿Empleat Públic ¿ DL 2/2003, de 28 d¿abril que aprova el TR de la Llei Municipal i de  Règim Local de Catalunya. ¿ Decret legislatiu 1/1997, de 31 d¿octubre, text únic dels preceptes de  determinats  textos  legals  vigents  a  Catalunya  en  matèria  de  funció  pública. ¿ Decret  214/1990,  de  30  de  juliol,  amb  el  reglament  del  personal  al  servei de les entitats locals. ¿ Decret   123/1997,   de   13   de   maig   pel   qual   s¿aprova   el   reglament  general de provisió de llocs de treball i de promoció professionals dels  funcionaris  de l¿Administració de la Generalitat de Catalunya.  ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015378#wlp_detall_tramit;24/08/2010;;;S;N;N;;Català 
***001606;Còpia d atestat per accidents de trànsit;Sol·licitud de còpies d atestats de trànsit  Qui ho pot demanar? Qualsevol persona implicada. Companyies d assegurances. Com es pot fer? Presencialment ¿ Prefectura de la Guàrdia Urbana, Oficina d¿atenció al ciutadà Correu electrònic / Fax ¿ Prefectura de la Guàrdia Urbana, Oficina d¿atenció al ciutadà Impresos mo;;0022;seguretat;;N;Documentació que cal aportar Full de petició, amb dades identificatives del accident i del sol·licitant. Pagament de la taxa amb targeta de crèdit a la Prefectura a l¿hora de recollir-lo,  o bé Full d autoliquidació de la taxa complimentat per l¿entitat bancària. ;Normativa Llei de seguretat viaria. Ordenança fiscal numero 13. ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001606#wlp_detall_tramit;06/09/2010;;;S;N;N;;Català 
