DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2018;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;4
EN EL MUNICIPI;2018;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;7
EN EL MUNICIPI;2018;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;4
EN EL MUNICIPI;2018;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;5
EN EL MUNICIPI;2018;6613;1;COM.MEN.ALMACENES POPULARES;3
EN EL MUNICIPI;2018;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;13
EN EL MUNICIPI;2018;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;8
EN EL MUNICIPI;2018;6539;1;COM.MEN.ART.HOGAR NCOP;2
EN EL MUNICIPI;2018;6595;1;COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA;9
EN EL MUNICIPI;2018;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;12
EN EL MUNICIPI;2018;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;7
EN EL MUNICIPI;2018;6553;1;COM.MEN.CARBURANTES Y ACEITES VEHICULOS;11
EN EL MUNICIPI;2018;6421;1;COM.MEN.CARNES,HUEVOS,CAZA Y GRANJA;2
EN EL MUNICIPI;2018;6424;1;COM.MEN.CARNICERIAS;3
EN EL MUNICIPI;2018;6422;1;COM.MEN.CARNICERIAS-CHARCUTERIAS;1
EN EL MUNICIPI;2018;6423;1;COM.MEN.CARNICERIAS-SALCHICHERIAS;1
EN EL MUNICIPI;2018;6426;1;COM.MEN.CASQUERIAS;1
EN EL MUNICIPI;2018;6545;1;COM.MEN.DE TODA CLASE DE MAQUINARIA;6
EN EL MUNICIPI;2018;6634;1;COM.MEN.DROGUERIA SIN ESTABLECIMIENTO;1
EN EL MUNICIPI;2018;6612;1;COM.MEN.EN HIPERMERCADOS;5
EN EL MUNICIPI;2018;641;1;COM.MEN.FRUTAS,VERDURAS;10
EN EL MUNICIPI;2018;6552;1;COM.MEN.GASES COMBUSTIBLES;2
EN EL MUNICIPI;2018;6444;1;COM.MEN.HELADOS;4
EN EL MUNICIPI;2018;6425;1;COM.MEN.HUEVOS,AVES,GRANJA Y CAZA;1
EN EL MUNICIPI;2018;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;9
EN EL MUNICIPI;2018;6513;1;COM.MEN.LENCERIA Y CORSETERIA;5
EN EL MUNICIPI;2018;6594;1;COM.MEN.LIBROS,PERIODICOS,REVISTAS.;14
EN EL MUNICIPI;2018;6446;1;COM.MEN.MASAS FRITAS;3
EN EL MUNICIPI;2018;6534;1;COM.MEN.MATERIALES DE CONSTRUCCION;9
EN EL MUNICIPI;2018;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;2
EN EL MUNICIPI;2018;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);10
EN EL MUNICIPI;2018;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;9
EN EL MUNICIPI;2018;6639;1;COM.MEN.OTRAS MERCANCIAS SIN ESTABLECIM.;6
EN EL MUNICIPI;2018;6599;1;COM.MEN.OTROS PTOS. NCOP;2
EN EL MUNICIPI;2018;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;17
EN EL MUNICIPI;2018;6431;1;COM.MEN.PESCADOS;6
EN EL MUNICIPI;2018;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;1
EN EL MUNICIPI;2018;665;1;COM.MEN.POR CORREO O CATALOGO;1
EN EL MUNICIPI;2018;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;18
EN EL MUNICIPI;2018;6472;1;COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2;7
EN EL MUNICIPI;2018;6474;1;COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2;7
EN EL MUNICIPI;2018;6471;1;COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS;13
EN EL MUNICIPI;2018;6473;1;COM.MEN-PTOS.ALIMENTICIOS 120 - 399 M2;11
EN EL MUNICIPI;2018;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;5
EN EL MUNICIPI;2018;6443;1;COM.MEN.PTOS.PASTELERIA,BOLLERIA;1
EN EL MUNICIPI;2018;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;4
EN EL MUNICIPI;2018;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;2
EN EL MUNICIPI;2018;6535;1;COM.MEN.PUERTAS,VENTANAS Y PERSIANAS;6
EN EL MUNICIPI;2018;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;6
EN EL MUNICIPI;2018;6464;1;COM.MEN.TABACO CON VENTA POR RECARGO;9
EN EL MUNICIPI;2018;6465;1;COM.MEN.TABACO MAQUINAS AUTOMATICAS;106
EN EL MUNICIPI;2018;6461;1;COM.MEN.TABACOS EN EXPENDIDURIA;2
EN EL MUNICIPI;2018;6632;1;COM.MEN.TEXTILES Y CONFECC.SIN ESTABLEC.;4
EN EL MUNICIPI;2018;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;8
EN EL MUNICIPI;2018;6541;1;COM.MEN.VEHICULOS TERRESTRES;8
EN EL MUNICIPI;2018;645;1;COM.MEN.VINOS Y BEBIDAS;1
EN EL MUNICIPI;2018;4559;1;CONFECC. OTROS ART. TEXTILES NCOP;3
EN EL MUNICIPI;2018;453;1;CONFECC. TODA CLASE PRENDAS VESTIR;16
EN EL MUNICIPI;2018;330;1;CONS.MAQ.DE OFICINA Y ORDENADORES;2
EN EL MUNICIPI;2018;5023;1;CONSOLID. Y PREP. TERRENOS OBRAS CIVILES;1
EN EL MUNICIPI;2018;5022;1;CONSOLIDACION Y PREPARACION DE TERRENOS;2
EN EL MUNICIPI;2018;3254;1;CONST. MAQ. ELEVACION Y MANIPULACION;1
EN EL MUNICIPI;2018;3291;1;CONST. MAQ. IND. PAPEL, CARTON Y AA.GG.;1
EN EL MUNICIPI;2018;3252;1;CONST. MAQUINAS IND. MINERALES NO METAL;2
EN EL MUNICIPI;2018;3231;1;CONST. MAQUINAS TEXTILES Y ACCESORIOS;1
EN EL MUNICIPI;2018;3299;1;CONST. OTRAS MAQ. Y EQUIPOS NCOP;5
EN EL MUNICIPI;2018;3251;1;CONST.MAQ. MINERIA Y CONSTRUCCION;1
EN EL MUNICIPI;2018;3242;1;CONST.MAQUINAS PARA INDUSTRIA QUIMICA;2
EN EL MUNICIPI;2018;5012;1;CONSTRUCC. COMPLETA OBRAS CIVILES;1
EN EL MUNICIPI;2018;315;1;CONSTRUCC. DEPOSITOS Y CALDERERIA;3
EN EL MUNICIPI;2018;5011;1;CONSTRUCCION COMPLETA, REPAR. Y CONSERV.;62
EN EL MUNICIPI;2018;507;1;CONSTRUCCION DE TODA CLASE DE OBRAS;11
EN EL MUNICIPI;2018;943;1;CONSULTAS CLINICAS ESTOMAT. Y ODONTOLOG.;1
EN EL MUNICIPI;2018;9421;1;CONSULTORIOS MEDICOS, SANITARIOS...;1
EN EL MUNICIPI;2018;432;2;DECORADORES-DISEùADORES DE INTERIORES;1
EN EL MUNICIPI;2018;431;2;DELINEANTES;4
EN EL MUNICIPI;2018;5021;1;DEMOLICIONES Y DERRIBOS EN GENERAL;1
EN EL MUNICIPI;2018;7541;1;DEPOSITOS Y ALMACENES GENERALES;1
EN EL MUNICIPI;2018;6442;1;DESPACHOS PAN, PAN ESPECIAL, Y BOLLERIA;3
EN EL MUNICIPI;2018;773;2;DETECTIVES PRIVADOS, VIGILANCIA, PROTECC;2
EN EL MUNICIPI;2018;224;2;DIBUJANTES TECNICOS;1
EN EL MUNICIPI;2018;744;2;DIPLOMADOS EN CIENCIAS EMPRESARIALES;3
EN EL MUNICIPI;2018;764;2;DIPLOMADOS EN INFORMATICA;1
EN EL MUNICIPI;2018;1614;1;DISTRIBUCION DE AGUA EN NUCLEOS URBANOS;1
EN EL MUNICIPI;2018;9612;1;DOBLAJE, MONTAJE DE PELICULAS;1
EN EL MUNICIPI;2018;775;2;DOCTORES Y LICENCIADOS EN FILOSOFIA;1
EN EL MUNICIPI;2018;776;2;DRES.LICENC.POLITICAS,SOCIALES,LETRAS;9
EN EL MUNICIPI;2018;741;2;ECONOMISTAS;2
EN EL MUNICIPI;2018;4761;1;EDICION DE LIBROS;2
EN EL MUNICIPI;2018;4762;1;EDICION DE PERIODICOS Y REVISTAS;2
EN EL MUNICIPI;2018;4239;1;ELAB. OTROS PTOS. ALIMENTICIOS NCOP;3
EN EL MUNICIPI;2018;4233;1;ELAB. PTOS. DIETETICOS Y DE REGIMEN;1
EN EL MUNICIPI;2018;9654;1;EMPRESAS DE ESPECTACULOS;1
EN EL MUNICIPI;2018;846;1;EMPRESAS DE ESTUDIO DE MERCADO;1
EN EL MUNICIPI;2018;7515;1;ENGRASE Y LAVADO DE VEHICULOS;9
EN EL MUNICIPI;2018;9313;1;ENSEùANZA BACHILLERATO, F.P., Y C.O.U.;2
EN EL MUNICIPI;2018;9312;1;ENSEùANZA EDUCACION GENERAL BASICA;9
EN EL MUNICIPI;2018;9321;1;ENSEùANZA FORMACION PROF. NO SUPERIOR;9
EN EL MUNICIPI;2018;9314;1;ENSEùANZA REGLADA (PREESC,EGB,BUP,FP,COU;2
EN EL MUNICIPI;2018;821;1;ENTIDADES ASEGURADORES DE VIDA Y CAPIT.;1
EN EL MUNICIPI;2018;9672;1;ESCUELAS Y SERV. PERFECC. DEL DEPORTE;6
EN EL MUNICIPI;2018;9652;1;ESPECTACULOS AL AIRE LIBRE;1
EN EL MUNICIPI;2018;772;2;ESTENOTIPISTAS, TAQUIMECANOGRAFOS,...;2
EN EL MUNICIPI;2018;833;2;ESTOMATOLOGOS;3
EN EL MUNICIPI;2018;9631;1;EXHIBICION DE PELICULAS CINEMATOGRAFICAS;1
EN EL MUNICIPI;2018;873;2;EXPENDEDORES NO OFICIALES APUESTAS;2
EN EL MUNICIPI;2018;7527;1;EXPLOTACION DE PUERTOS,CANALES Y DIQUES;1
EN EL MUNICIPI;2018;845;1;EXPLOTACION ELECTRONICA POR TERCEROS;5
EN EL MUNICIPI;2018;9213;1;EXTERMINIO ANIMALES DAùINOS Y DESIFECC.;1
EN EL MUNICIPI;2018;3922;1;FAB. APARATOS PROTESIS Y ORTOPEDIA;1
EN EL MUNICIPI;2018;352;1;FAB. APARATOS USO PROFESIONAL CIENTIFICO;1
EN EL MUNICIPI;2018;4822;1;FAB. ART. ACABADOS MATERIAS PLASTICAS;3
EN EL MUNICIPI;2018;3141;1;FAB. ART. CARPINTERIA METALICA;6
EN EL MUNICIPI;2018;3162;1;FAB. ARTICULOS DE FERRETERIA/CERRAJERIA;7
EN EL MUNICIPI;2018;2537;1;FAB. COLAS Y GELATINAS;1
EN EL MUNICIPI;2018;2534;1;FAB. DE TINTAS DE IMPRENTA;1
EN EL MUNICIPI;2018;2542;1;FAB. ESPECIALIDADES FARMACEUTICAS;3
EN EL MUNICIPI;2018;3142;1;FAB. ESTRUCTURAS METALICAS;2
EN EL MUNICIPI;2018;3161;1;FAB. HERRAMIENTAS MANUALES;1
EN EL MUNICIPI;2018;2552;1;FAB. JABONES TOCADOR Y PTOS. PERFUMERIA;1
EN EL MUNICIPI;2018;346;1;FAB. LAMPARAS Y MATERIAL DE ALUMBRADO;1
EN EL MUNICIPI;2018;4681;1;FAB. MOBILIARIO DE MADERA PARA EL HOGAR;4
EN EL MUNICIPI;2018;3166;1;FAB. MOBILIARIO METALICO;2
EN EL MUNICIPI;2018;4819;1;FAB. OTROS ART. CAUCHO NCOP;1
EN EL MUNICIPI;2018;4959;1;FAB. OTROS ART. NCOP;1
EN EL MUNICIPI;2018;4732;1;FAB. OTROS ART. Y ENVASES PAPEL Y CARTON;1
EN EL MUNICIPI;2018;4429;1;FAB. OTROS ARTICULOS DE CUERO NCOP;1
EN EL MUNICIPI;2018;2433;1;FAB. OTROS ARTICULOS DERIVADOS CEMENTO;1
EN EL MUNICIPI;2018;399;1;FAB. RELOJES Y OTROS INSTRUMENTOS NCOP;1
EN EL MUNICIPI;2018;463;1;FAB. SERIE PIEZAS DE CARPINTERIA;2
EN EL MUNICIPI;2018;2462;1;FAB. VIDRIO HUECO;1
EN EL MUNICIPI;2018;3261;1;FAB.ENGRANAJES,CADENAS DE TRANSMISION;1
EN EL MUNICIPI;2018;363;1;FAB.EQUIPO,COMPONENTES,REPUESTOS, COCHES;2
EN EL MUNICIPI;2018;342;1;FAB.MATERIAL ELECTRICO DE USO Y EQUIP.;2
EN EL MUNICIPI;2018;4132;1;FAB.PTOS.CARNICOS DE TODAS CLASES;2
EN EL MUNICIPI;2018;152;1;FABRICACION Y DISTRIBUCION DE GAS;1
EN EL MUNICIPI;2018;6521;1;FARMACIAS;7
EN EL MUNICIPI;2018;312;1;FORJA,ESTAMPADO,EMBUTICION,TROQUELADO;3
EN EL MUNICIPI;2018;3111;1;FUNDICION PIEZAS DE HIERRO Y ACERO;1
EN EL MUNICIPI;2018;722;2;GESTORES ADMINISTRATIVOS;2
EN EL MUNICIPI;2018;765;2;GRABADORES, Y OTROS PROF. INFORMATICA;1
EN EL MUNICIPI;2018;726;2;GRADUADOS SOCIALES;1
EN EL MUNICIPI;2018;9311;1;GUARDERIA Y ENSE#ANZA INFANTIL,EXCLUSIV.;6
EN EL MUNICIPI;2018;7511;1;GUARDIA Y CUSTODIA VEHICULOS EN GARAJES;1
EN EL MUNICIPI;2018;7513;1;GUARDIA Y CUSTODIA VEHICULOS EN SOLARES;1
EN EL MUNICIPI;2018;7512;1;GUARDIA Y CUSTODIA VEHICULOS 'PARKING';7
EN EL MUNICIPI;2018;684;1;HOSPEDAJE EN APARTA-HOTELES;1
EN EL MUNICIPI;2018;682;1;HOSPEDAJE EN HOSTALES Y PENSIONES;1
EN EL MUNICIPI;2018;681;1;HOSPEDAJE EN HOTELES Y MOTELES;1
EN EL MUNICIPI;2018;9412;1;HOSPITALES ESPECIALIZADOS;1
EN EL MUNICIPI;2018;016;3;HUMORISTAS,CARICATOS,EXCENTRICOS;1
EN EL MUNICIPI;2018;4192;1;INDUST. BOLLERIA Y PASTELERIA;1
EN EL MUNICIPI;2018;4191;1;INDUSTRIA DEL PAN Y BOLLERIA;2
EN EL MUNICIPI;2018;244;1;INDUSTRIAS DE LA PIEDRA NATURAL;2
EN EL MUNICIPI;2018;412;2;INGENIEROS CAMINOS, CANALES Y PUERTOS;1
EN EL MUNICIPI;2018;311;2;INGENIEROS INDUSTRIALES Y TEXTILES;2
EN EL MUNICIPI;2018;022;2;INGENIEROS TEC. AGRICOLAS Y FORESTALES;1
EN EL MUNICIPI;2018;321;2;INGENIEROS TEC. INDUSTRIALES Y TEXTILES;4
EN EL MUNICIPI;2018;213;2;INGENIEROS TELECOMUNICACION;1
EN EL MUNICIPI;2018;9681;1;INSTALAC. CELEB. ESPECTACULOS DEPORTIVOS;1
EN EL MUNICIPI;2018;5046;1;INSTALACION APARATOS ELEVADORES;1
EN EL MUNICIPI;2018;5060;1;INSTALACION DE ANDAMIOS, CIMBRAS, ETC.;4
EN EL MUNICIPI;2018;9671;1;INSTALACIONES DEPORTIVAS;6
EN EL MUNICIPI;2018;5041;1;INSTALACIONES ELECTRICAS EN GENERAL;78
EN EL MUNICIPI;2018;5042;1;INSTALACIONES FONTANERIA;18
EN EL MUNICIPI;2018;5043;1;INSTALACIONES FRIO Y CALOR;32
EN EL MUNICIPI;2018;5044;1;INSTALACIONES PARARRAYOS;1
EN EL MUNICIPI;2018;5047;1;INSTALACIONES TELEFONICAS;11
EN EL MUNICIPI;2018;631;1;INTERMEDIARIOS DEL COMERCIO;12
EN EL MUNICIPI;2018;724;2;INTERMEDIARIOS PROMOCION EDIFICACIONES;1
EN EL MUNICIPI;2018;936;1;INVESTIGACION CIENTIFICA Y TECNICA;4
EN EL MUNICIPI;2018;4911;1;JOYERIA;1
EN EL MUNICIPI;2018;9695;1;JUEGOS BILLAR, PING-PONG, BOLOS Y OTROS;6
EN EL MUNICIPI;2018;031;3;MAESTROS Y DIRECTORES DE MUSICA;1
EN EL MUNICIPI;2018;2465;1;MANIPULADO DE VIDRIO;1
EN EL MUNICIPI;2018;887;2;MAQUILLADORES Y ESTETICISTAS;3
EN EL MUNICIPI;2018;3241;1;MAQUINAS IND. ALIMENT.,BEBIDAS Y TAB.;1
EN EL MUNICIPI;2018;9694;1;MAQUINAS RECREATIVAS Y DE AZAR;2
EN EL MUNICIPI;2018;839;2;MASAJISTAS, DIETISTAS, Y AUX.ENFERMERIA;5
EN EL MUNICIPI;2018;832;2;MEDICOS ESPECIALISTAS;21
EN EL MUNICIPI;2018;831;2;MEDICOS MEDICINA GENERAL;33
EN EL MUNICIPI;2018;5033;1;MONTAJE ESTRUC. METALICAS TTE. Y OBRAS;2
EN EL MUNICIPI;2018;5048;1;MONTAJES METALICOS E INSTALAC. INDUSTR.;3
EN EL MUNICIPI;2018;4243;1;OBTENC. AGUARDIENTES COMPUESTOS;1
EN EL MUNICIPI;2018;834;2;ODONTOLOGOS;10
EN EL MUNICIPI;2018;838;2;OPTICOS-OPTOMETRISTAS Y PODOLOGOS;8
EN EL MUNICIPI;2018;039;3;OTRAS ACTIV. RELAC. MUSICA  NCOP;3
EN EL MUNICIPI;2018;9697;1;OTRAS MAQUINAS AUTOMATICAS;22
EN EL MUNICIPI;2018;1514;1;OTRAS PRODUCCIONES DE ENERGIA;3
EN EL MUNICIPI;2018;699;1;OTRAS REPARACIONES NCOP;9
EN EL MUNICIPI;2018;9339;1;OTROS ACTIV. ENSEùANZA;9
EN EL MUNICIPI;2018;3169;1;OTROS ART. ACABADOS EN METALES NCOP;4
EN EL MUNICIPI;2018;6732;1;OTROS CAFES Y BARES;37
EN EL MUNICIPI;2018;7549;1;OTROS DEPOSITOS ESPECIALES NCOP;1
EN EL MUNICIPI;2018;799;2;OTROS PROF. ACTIV. FINANC. JURID. SEGUR.;7
EN EL MUNICIPI;2018;599;2;OTROS PROF. RELAC. COMERCIO Y HOSTELERIA;27
EN EL MUNICIPI;2018;899;2;OTROS PROF. RELACIONADOS CON SERVICIOS;7
EN EL MUNICIPI;2018;499;2;OTROS PROFES. RELACIONADOS CONSTRUCCION;2
EN EL MUNICIPI;2018;399;2;OTROS PROFESIONALES INDUSTRIAS MANUFAC.;2
EN EL MUNICIPI;2018;299;2;OTROS PROF.RELACION AERONAUTICA,COMUNIC.;1
EN EL MUNICIPI;2018;6779;1;OTROS SERV. ALIMENTACION - RESTAURACION;3
EN EL MUNICIPI;2018;8329;1;OTROS SERV. AUXILIARES DE SEGUROS;3
EN EL MUNICIPI;2018;9429;1;OTROS SERV. SANITARIOS;4
EN EL MUNICIPI;2018;9669;1;OTROS SERVICIOS CULTURALES NCOP;4
EN EL MUNICIPI;2018;9219;1;OTROS SERVICIOS DE SANEAMIENTO N.C.O.P.;5
EN EL MUNICIPI;2018;8499;1;OTROS SERVICIOS INDEPENDIENTES NCOP;17
EN EL MUNICIPI;2018;999;1;OTROS SERVICIOS N.C.O.P.;3
EN EL MUNICIPI;2018;8439;1;OTROS SERVICIOS TECNICOS NCOP;4
EN EL MUNICIPI;2018;884;2;PERITOS TASADORES:SEGUROS,ALHAJAS,...;5
EN EL MUNICIPI;2018;822;2;PERSONAL DOCENTE ENSEùANZA MEDIA;1
EN EL MUNICIPI;2018;821;2;PERSONAL DOCENTE ENSEùANZA SUPERIOR;1
EN EL MUNICIPI;2018;826;2;PERSONAL DOCENTE ENSEùANZAS DIVERSAS;4
EN EL MUNICIPI;2018;861;2;PINTORES,ESCULTORES,CERAMISTAS,ARTESANOS;4
EN EL MUNICIPI;2018;5056;1;PINTURA Y REVESTIMIENTO CON PAPEL,TEJIDO;30
EN EL MUNICIPI;2018;5031;1;PREP. MONTAJE ESTRUCTURAS Y CUBIERTAS;8
EN EL MUNICIPI;2018;732;2;PROCURADORES;2
EN EL MUNICIPI;2018;811;2;PROFESIONALES LIMPIEZA;2
EN EL MUNICIPI;2018;751;2;PROFESIONALES PUBLICIDAD, RELAC.PUBLICAS;3
EN EL MUNICIPI;2018;763;2;PROGRAMADORES Y ANALISTAS INFORMATICA;4
EN EL MUNICIPI;2018;8332;1;PROMOCION INMOBILIARIA DE EDIFICACIONES;143
EN EL MUNICIPI;2018;8331;1;PROMOCION INMOBILIARIA DE TERRENOS;15
EN EL MUNICIPI;2018;837;2;PROTESICOS E HIGIENISTAS DENTALES;1
EN EL MUNICIPI;2018;6475;1;PTOS.ALIMENTICIOS Y BEB. MAQUINAS;8
EN EL MUNICIPI;2018;623;1;RECUPERACION Y COM. RESIDUOS SIN ESTABL.;1
EN EL MUNICIPI;2018;6911;1;REPARACION ART. ELECTRODOMESTICOS;5
