DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2019;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;1
EN EL MUNICIPI;2019;6166;1;COM.MAY.PTOS. QUIMICOS INDUSTRIALES;1
EN EL MUNICIPI;2019;6121;1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;3
EN EL MUNICIPI;2019;6141;1;COM.MAY.PTOS.FARMACEUTICOS Y MEDICAMENTO;5
EN EL MUNICIPI;2019;6143;1;COM.MAY.PTOS.MANTENIMIENTO HOGAR;4
EN EL MUNICIPI;2019;6142;1;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;8
EN EL MUNICIPI;2019;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;5
EN EL MUNICIPI;2019;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;7
EN EL MUNICIPI;2019;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;5
EN EL MUNICIPI;2019;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;5
EN EL MUNICIPI;2019;6613;1;COM.MEN.ALMACENES POPULARES;3
EN EL MUNICIPI;2019;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;14
EN EL MUNICIPI;2019;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;8
EN EL MUNICIPI;2019;6539;1;COM.MEN.ART.HOGAR NCOP;2
EN EL MUNICIPI;2019;6595;1;COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA;8
EN EL MUNICIPI;2019;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;11
EN EL MUNICIPI;2019;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;7
EN EL MUNICIPI;2019;6553;1;COM.MEN.CARBURANTES Y ACEITES VEHICULOS;10
EN EL MUNICIPI;2019;6421;1;COM.MEN.CARNES,HUEVOS,CAZA Y GRANJA;2
EN EL MUNICIPI;2019;6424;1;COM.MEN.CARNICERIAS;3
EN EL MUNICIPI;2019;6422;1;COM.MEN.CARNICERIAS-CHARCUTERIAS;1
EN EL MUNICIPI;2019;6426;1;COM.MEN.CASQUERIAS;1
EN EL MUNICIPI;2019;6545;1;COM.MEN.DE TODA CLASE DE MAQUINARIA;6
EN EL MUNICIPI;2019;6634;1;COM.MEN.DROGUERIA SIN ESTABLECIMIENTO;1
EN EL MUNICIPI;2019;6612;1;COM.MEN.EN HIPERMERCADOS;5
EN EL MUNICIPI;2019;641;1;COM.MEN.FRUTAS,VERDURAS;9
EN EL MUNICIPI;2019;6552;1;COM.MEN.GASES COMBUSTIBLES;2
EN EL MUNICIPI;2019;6444;1;COM.MEN.HELADOS;4
EN EL MUNICIPI;2019;6425;1;COM.MEN.HUEVOS,AVES,GRANJA Y CAZA;1
EN EL MUNICIPI;2019;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;9
EN EL MUNICIPI;2019;6513;1;COM.MEN.LENCERIA Y CORSETERIA;4
EN EL MUNICIPI;2019;6594;1;COM.MEN.LIBROS,PERIODICOS,REVISTAS.;11
EN EL MUNICIPI;2019;6446;1;COM.MEN.MASAS FRITAS;3
EN EL MUNICIPI;2019;6534;1;COM.MEN.MATERIALES DE CONSTRUCCION;8
EN EL MUNICIPI;2019;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;1
EN EL MUNICIPI;2019;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);10
EN EL MUNICIPI;2019;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;9
EN EL MUNICIPI;2019;6639;1;COM.MEN.OTRAS MERCANCIAS SIN ESTABLECIM.;6
EN EL MUNICIPI;2019;6599;1;COM.MEN.OTROS PTOS. NCOP;2
EN EL MUNICIPI;2019;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;15
EN EL MUNICIPI;2019;6431;1;COM.MEN.PESCADOS;6
EN EL MUNICIPI;2019;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;1
EN EL MUNICIPI;2019;665;1;COM.MEN.POR CORREO O CATALOGO;1
EN EL MUNICIPI;2019;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;16
EN EL MUNICIPI;2019;6472;1;COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2;8
EN EL MUNICIPI;2019;6474;1;COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2;7
EN EL MUNICIPI;2019;6471;1;COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS;11
EN EL MUNICIPI;2019;6473;1;COM.MEN-PTOS.ALIMENTICIOS 120 - 399 M2;10
EN EL MUNICIPI;2019;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;5
EN EL MUNICIPI;2019;6443;1;COM.MEN.PTOS.PASTELERIA,BOLLERIA;1
EN EL MUNICIPI;2019;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;4
EN EL MUNICIPI;2019;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;2
EN EL MUNICIPI;2019;6535;1;COM.MEN.PUERTAS,VENTANAS Y PERSIANAS;6
EN EL MUNICIPI;2019;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;6
EN EL MUNICIPI;2019;6464;1;COM.MEN.TABACO CON VENTA POR RECARGO;6
EN EL MUNICIPI;2019;6465;1;COM.MEN.TABACO MAQUINAS AUTOMATICAS;97
EN EL MUNICIPI;2019;6461;1;COM.MEN.TABACOS EN EXPENDIDURIA;2
EN EL MUNICIPI;2019;6632;1;COM.MEN.TEXTILES Y CONFECC.SIN ESTABLEC.;4
EN EL MUNICIPI;2019;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;6
EN EL MUNICIPI;2019;6541;1;COM.MEN.VEHICULOS TERRESTRES;8
EN EL MUNICIPI;2019;645;1;COM.MEN.VINOS Y BEBIDAS;1
EN EL MUNICIPI;2019;4559;1;CONFECC. OTROS ART. TEXTILES NCOP;3
EN EL MUNICIPI;2019;453;1;CONFECC. TODA CLASE PRENDAS VESTIR;16
EN EL MUNICIPI;2019;330;1;CONS.MAQ.DE OFICINA Y ORDENADORES;2
EN EL MUNICIPI;2019;5023;1;CONSOLID. Y PREP. TERRENOS OBRAS CIVILES;1
EN EL MUNICIPI;2019;5022;1;CONSOLIDACION Y PREPARACION DE TERRENOS;2
EN EL MUNICIPI;2019;3254;1;CONST. MAQ. ELEVACION Y MANIPULACION;1
EN EL MUNICIPI;2019;3252;1;CONST. MAQUINAS IND. MINERALES NO METAL;1
EN EL MUNICIPI;2019;3299;1;CONST. OTRAS MAQ. Y EQUIPOS NCOP;5
EN EL MUNICIPI;2019;3251;1;CONST.MAQ. MINERIA Y CONSTRUCCION;1
EN EL MUNICIPI;2019;3242;1;CONST.MAQUINAS PARA INDUSTRIA QUIMICA;2
EN EL MUNICIPI;2019;5012;1;CONSTRUCC. COMPLETA OBRAS CIVILES;1
EN EL MUNICIPI;2019;315;1;CONSTRUCC. DEPOSITOS Y CALDERERIA;3
EN EL MUNICIPI;2019;5011;1;CONSTRUCCION COMPLETA, REPAR. Y CONSERV.;61
EN EL MUNICIPI;2019;507;1;CONSTRUCCION DE TODA CLASE DE OBRAS;11
EN EL MUNICIPI;2019;943;1;CONSULTAS CLINICAS ESTOMAT. Y ODONTOLOG.;1
EN EL MUNICIPI;2019;9421;1;CONSULTORIOS MEDICOS, SANITARIOS...;1
EN EL MUNICIPI;2019;432;2;DECORADORES-DISEùADORES DE INTERIORES;1
EN EL MUNICIPI;2019;431;2;DELINEANTES;4
EN EL MUNICIPI;2019;5021;1;DEMOLICIONES Y DERRIBOS EN GENERAL;1
EN EL MUNICIPI;2019;7541;1;DEPOSITOS Y ALMACENES GENERALES;1
EN EL MUNICIPI;2019;6442;1;DESPACHOS PAN, PAN ESPECIAL, Y BOLLERIA;2
EN EL MUNICIPI;2019;773;2;DETECTIVES PRIVADOS, VIGILANCIA, PROTECC;2
EN EL MUNICIPI;2019;224;2;DIBUJANTES TECNICOS;1
EN EL MUNICIPI;2019;744;2;DIPLOMADOS EN CIENCIAS EMPRESARIALES;3
EN EL MUNICIPI;2019;764;2;DIPLOMADOS EN INFORMATICA;1
EN EL MUNICIPI;2019;1614;1;DISTRIBUCION DE AGUA EN NUCLEOS URBANOS;1
EN EL MUNICIPI;2019;9612;1;DOBLAJE, MONTAJE DE PELICULAS;1
EN EL MUNICIPI;2019;775;2;DOCTORES Y LICENCIADOS EN FILOSOFIA;1
EN EL MUNICIPI;2019;776;2;DRES.LICENC.POLITICAS,SOCIALES,LETRAS;9
EN EL MUNICIPI;2019;741;2;ECONOMISTAS;2
EN EL MUNICIPI;2019;4761;1;EDICION DE LIBROS;2
EN EL MUNICIPI;2019;4762;1;EDICION DE PERIODICOS Y REVISTAS;2
EN EL MUNICIPI;2019;4239;1;ELAB. OTROS PTOS. ALIMENTICIOS NCOP;3
EN EL MUNICIPI;2019;4233;1;ELAB. PTOS. DIETETICOS Y DE REGIMEN;1
EN EL MUNICIPI;2019;9654;1;EMPRESAS DE ESPECTACULOS;1
EN EL MUNICIPI;2019;846;1;EMPRESAS DE ESTUDIO DE MERCADO;1
EN EL MUNICIPI;2019;7515;1;ENGRASE Y LAVADO DE VEHICULOS;9
EN EL MUNICIPI;2019;9313;1;ENSEùANZA BACHILLERATO, F.P., Y C.O.U.;2
EN EL MUNICIPI;2019;9312;1;ENSEùANZA EDUCACION GENERAL BASICA;9
EN EL MUNICIPI;2019;9321;1;ENSEùANZA FORMACION PROF. NO SUPERIOR;9
EN EL MUNICIPI;2019;9314;1;ENSEùANZA REGLADA (PREESC,EGB,BUP,FP,COU;2
EN EL MUNICIPI;2019;821;1;ENTIDADES ASEGURADORES DE VIDA Y CAPIT.;1
EN EL MUNICIPI;2019;9672;1;ESCUELAS Y SERV. PERFECC. DEL DEPORTE;5
EN EL MUNICIPI;2019;9652;1;ESPECTACULOS AL AIRE LIBRE;1
EN EL MUNICIPI;2019;772;2;ESTENOTIPISTAS, TAQUIMECANOGRAFOS,...;2
EN EL MUNICIPI;2019;833;2;ESTOMATOLOGOS;3
EN EL MUNICIPI;2019;9631;1;EXHIBICION DE PELICULAS CINEMATOGRAFICAS;1
EN EL MUNICIPI;2019;873;2;EXPENDEDORES NO OFICIALES APUESTAS;2
EN EL MUNICIPI;2019;7527;1;EXPLOTACION DE PUERTOS,CANALES Y DIQUES;1
EN EL MUNICIPI;2019;845;1;EXPLOTACION ELECTRONICA POR TERCEROS;5
EN EL MUNICIPI;2019;9213;1;EXTERMINIO ANIMALES DAùINOS Y DESIFECC.;1
EN EL MUNICIPI;2019;3922;1;FAB. APARATOS PROTESIS Y ORTOPEDIA;1
EN EL MUNICIPI;2019;352;1;FAB. APARATOS USO PROFESIONAL CIENTIFICO;1
EN EL MUNICIPI;2019;4822;1;FAB. ART. ACABADOS MATERIAS PLASTICAS;3
EN EL MUNICIPI;2019;3141;1;FAB. ART. CARPINTERIA METALICA;4
EN EL MUNICIPI;2019;3162;1;FAB. ARTICULOS DE FERRETERIA/CERRAJERIA;7
EN EL MUNICIPI;2019;2537;1;FAB. COLAS Y GELATINAS;1
EN EL MUNICIPI;2019;2534;1;FAB. DE TINTAS DE IMPRENTA;1
EN EL MUNICIPI;2019;2542;1;FAB. ESPECIALIDADES FARMACEUTICAS;3
EN EL MUNICIPI;2019;3142;1;FAB. ESTRUCTURAS METALICAS;2
EN EL MUNICIPI;2019;3161;1;FAB. HERRAMIENTAS MANUALES;1
EN EL MUNICIPI;2019;2552;1;FAB. JABONES TOCADOR Y PTOS. PERFUMERIA;1
EN EL MUNICIPI;2019;346;1;FAB. LAMPARAS Y MATERIAL DE ALUMBRADO;2
EN EL MUNICIPI;2019;4681;1;FAB. MOBILIARIO DE MADERA PARA EL HOGAR;4
EN EL MUNICIPI;2019;3166;1;FAB. MOBILIARIO METALICO;1
EN EL MUNICIPI;2019;4819;1;FAB. OTROS ART. CAUCHO NCOP;1
EN EL MUNICIPI;2019;4959;1;FAB. OTROS ART. NCOP;1
EN EL MUNICIPI;2019;4732;1;FAB. OTROS ART. Y ENVASES PAPEL Y CARTON;1
EN EL MUNICIPI;2019;4429;1;FAB. OTROS ARTICULOS DE CUERO NCOP;1
EN EL MUNICIPI;2019;2433;1;FAB. OTROS ARTICULOS DERIVADOS CEMENTO;1
EN EL MUNICIPI;2019;399;1;FAB. RELOJES Y OTROS INSTRUMENTOS NCOP;1
EN EL MUNICIPI;2019;463;1;FAB. SERIE PIEZAS DE CARPINTERIA;2
EN EL MUNICIPI;2019;2462;1;FAB. VIDRIO HUECO;1
EN EL MUNICIPI;2019;3261;1;FAB.ENGRANAJES,CADENAS DE TRANSMISION;1
EN EL MUNICIPI;2019;363;1;FAB.EQUIPO,COMPONENTES,REPUESTOS, COCHES;2
EN EL MUNICIPI;2019;342;1;FAB.MATERIAL ELECTRICO DE USO Y EQUIP.;2
EN EL MUNICIPI;2019;4132;1;FAB.PTOS.CARNICOS DE TODAS CLASES;1
EN EL MUNICIPI;2019;152;1;FABRICACION Y DISTRIBUCION DE GAS;1
EN EL MUNICIPI;2019;6521;1;FARMACIAS;7
EN EL MUNICIPI;2019;312;1;FORJA,ESTAMPADO,EMBUTICION,TROQUELADO;3
EN EL MUNICIPI;2019;3111;1;FUNDICION PIEZAS DE HIERRO Y ACERO;1
EN EL MUNICIPI;2019;722;2;GESTORES ADMINISTRATIVOS;2
EN EL MUNICIPI;2019;765;2;GRABADORES, Y OTROS PROF. INFORMATICA;1
EN EL MUNICIPI;2019;726;2;GRADUADOS SOCIALES;2
EN EL MUNICIPI;2019;9311;1;GUARDERIA Y ENSE#ANZA INFANTIL,EXCLUSIV.;5
EN EL MUNICIPI;2019;7511;1;GUARDIA Y CUSTODIA VEHICULOS EN GARAJES;1
EN EL MUNICIPI;2019;7513;1;GUARDIA Y CUSTODIA VEHICULOS EN SOLARES;1
EN EL MUNICIPI;2019;7512;1;GUARDIA Y CUSTODIA VEHICULOS 'PARKING';7
EN EL MUNICIPI;2019;684;1;HOSPEDAJE EN APARTA-HOTELES;1
EN EL MUNICIPI;2019;682;1;HOSPEDAJE EN HOSTALES Y PENSIONES;1
EN EL MUNICIPI;2019;681;1;HOSPEDAJE EN HOTELES Y MOTELES;1
EN EL MUNICIPI;2019;9412;1;HOSPITALES ESPECIALIZADOS;1
EN EL MUNICIPI;2019;016;3;HUMORISTAS,CARICATOS,EXCENTRICOS;1
EN EL MUNICIPI;2019;4192;1;INDUST. BOLLERIA Y PASTELERIA;1
EN EL MUNICIPI;2019;4191;1;INDUSTRIA DEL PAN Y BOLLERIA;1
EN EL MUNICIPI;2019;244;1;INDUSTRIAS DE LA PIEDRA NATURAL;2
EN EL MUNICIPI;2019;412;2;INGENIEROS CAMINOS, CANALES Y PUERTOS;1
EN EL MUNICIPI;2019;311;2;INGENIEROS INDUSTRIALES Y TEXTILES;2
EN EL MUNICIPI;2019;022;2;INGENIEROS TEC. AGRICOLAS Y FORESTALES;1
EN EL MUNICIPI;2019;321;2;INGENIEROS TEC. INDUSTRIALES Y TEXTILES;4
EN EL MUNICIPI;2019;213;2;INGENIEROS TELECOMUNICACION;1
EN EL MUNICIPI;2019;9681;1;INSTALAC. CELEB. ESPECTACULOS DEPORTIVOS;1
EN EL MUNICIPI;2019;5046;1;INSTALACION APARATOS ELEVADORES;1
EN EL MUNICIPI;2019;5060;1;INSTALACION DE ANDAMIOS, CIMBRAS, ETC.;4
EN EL MUNICIPI;2019;9671;1;INSTALACIONES DEPORTIVAS;6
EN EL MUNICIPI;2019;5041;1;INSTALACIONES ELECTRICAS EN GENERAL;75
EN EL MUNICIPI;2019;5042;1;INSTALACIONES FONTANERIA;18
EN EL MUNICIPI;2019;5043;1;INSTALACIONES FRIO Y CALOR;29
EN EL MUNICIPI;2019;5044;1;INSTALACIONES PARARRAYOS;1
EN EL MUNICIPI;2019;5047;1;INSTALACIONES TELEFONICAS;11
EN EL MUNICIPI;2019;631;1;INTERMEDIARIOS DEL COMERCIO;13
EN EL MUNICIPI;2019;724;2;INTERMEDIARIOS PROMOCION EDIFICACIONES;1
EN EL MUNICIPI;2019;936;1;INVESTIGACION CIENTIFICA Y TECNICA;4
EN EL MUNICIPI;2019;4911;1;JOYERIA;1
EN EL MUNICIPI;2019;9695;1;JUEGOS BILLAR, PING-PONG, BOLOS Y OTROS;6
EN EL MUNICIPI;2019;031;3;MAESTROS Y DIRECTORES DE MUSICA;1
EN EL MUNICIPI;2019;2465;1;MANIPULADO DE VIDRIO;1
EN EL MUNICIPI;2019;887;2;MAQUILLADORES Y ESTETICISTAS;3
EN EL MUNICIPI;2019;3241;1;MAQUINAS IND. ALIMENT.,BEBIDAS Y TAB.;1
EN EL MUNICIPI;2019;9694;1;MAQUINAS RECREATIVAS Y DE AZAR;1
EN EL MUNICIPI;2019;839;2;MASAJISTAS, DIETISTAS, Y AUX.ENFERMERIA;4
EN EL MUNICIPI;2019;832;2;MEDICOS ESPECIALISTAS;20
EN EL MUNICIPI;2019;831;2;MEDICOS MEDICINA GENERAL;30
EN EL MUNICIPI;2019;5033;1;MONTAJE ESTRUC. METALICAS TTE. Y OBRAS;2
EN EL MUNICIPI;2019;5048;1;MONTAJES METALICOS E INSTALAC. INDUSTR.;4
EN EL MUNICIPI;2019;4243;1;OBTENC. AGUARDIENTES COMPUESTOS;1
EN EL MUNICIPI;2019;834;2;ODONTOLOGOS;10
EN EL MUNICIPI;2019;838;2;OPTICOS-OPTOMETRISTAS Y PODOLOGOS;8
EN EL MUNICIPI;2019;039;3;OTRAS ACTIV. RELAC. MUSICA  NCOP;3
EN EL MUNICIPI;2019;9697;1;OTRAS MAQUINAS AUTOMATICAS;19
EN EL MUNICIPI;2019;1514;1;OTRAS PRODUCCIONES DE ENERGIA;2
EN EL MUNICIPI;2019;699;1;OTRAS REPARACIONES NCOP;8
EN EL MUNICIPI;2019;9339;1;OTROS ACTIV. ENSEùANZA;9
EN EL MUNICIPI;2019;3169;1;OTROS ART. ACABADOS EN METALES NCOP;4
EN EL MUNICIPI;2019;6732;1;OTROS CAFES Y BARES;29
EN EL MUNICIPI;2019;7549;1;OTROS DEPOSITOS ESPECIALES NCOP;1
EN EL MUNICIPI;2019;799;2;OTROS PROF. ACTIV. FINANC. JURID. SEGUR.;7
EN EL MUNICIPI;2019;599;2;OTROS PROF. RELAC. COMERCIO Y HOSTELERIA;24
EN EL MUNICIPI;2019;899;2;OTROS PROF. RELACIONADOS CON SERVICIOS;7
EN EL MUNICIPI;2019;499;2;OTROS PROFES. RELACIONADOS CONSTRUCCION;1
EN EL MUNICIPI;2019;399;2;OTROS PROFESIONALES INDUSTRIAS MANUFAC.;1
EN EL MUNICIPI;2019;299;2;OTROS PROF.RELACION AERONAUTICA,COMUNIC.;1
EN EL MUNICIPI;2019;6779;1;OTROS SERV. ALIMENTACION - RESTAURACION;5
EN EL MUNICIPI;2019;8329;1;OTROS SERV. AUXILIARES DE SEGUROS;2
EN EL MUNICIPI;2019;9429;1;OTROS SERV. SANITARIOS;4
EN EL MUNICIPI;2019;9669;1;OTROS SERVICIOS CULTURALES NCOP;4
EN EL MUNICIPI;2019;9219;1;OTROS SERVICIOS DE SANEAMIENTO N.C.O.P.;5
EN EL MUNICIPI;2019;8499;1;OTROS SERVICIOS INDEPENDIENTES NCOP;15
EN EL MUNICIPI;2019;999;1;OTROS SERVICIOS N.C.O.P.;3
EN EL MUNICIPI;2019;8439;1;OTROS SERVICIOS TECNICOS NCOP;4
EN EL MUNICIPI;2019;884;2;PERITOS TASADORES:SEGUROS,ALHAJAS,...;5
EN EL MUNICIPI;2019;822;2;PERSONAL DOCENTE ENSEùANZA MEDIA;1
EN EL MUNICIPI;2019;821;2;PERSONAL DOCENTE ENSEùANZA SUPERIOR;1
EN EL MUNICIPI;2019;826;2;PERSONAL DOCENTE ENSEùANZAS DIVERSAS;4
EN EL MUNICIPI;2019;861;2;PINTORES,ESCULTORES,CERAMISTAS,ARTESANOS;4
EN EL MUNICIPI;2019;5056;1;PINTURA Y REVESTIMIENTO CON PAPEL,TEJIDO;27
EN EL MUNICIPI;2019;5031;1;PREP. MONTAJE ESTRUCTURAS Y CUBIERTAS;8
EN EL MUNICIPI;2019;732;2;PROCURADORES;2
EN EL MUNICIPI;2019;811;2;PROFESIONALES LIMPIEZA;2
EN EL MUNICIPI;2019;751;2;PROFESIONALES PUBLICIDAD, RELAC.PUBLICAS;3
EN EL MUNICIPI;2019;763;2;PROGRAMADORES Y ANALISTAS INFORMATICA;4
EN EL MUNICIPI;2019;8332;1;PROMOCION INMOBILIARIA DE EDIFICACIONES;138
EN EL MUNICIPI;2019;8331;1;PROMOCION INMOBILIARIA DE TERRENOS;17
EN EL MUNICIPI;2019;837;2;PROTESICOS E HIGIENISTAS DENTALES;1
EN EL MUNICIPI;2019;6475;1;PTOS.ALIMENTICIOS Y BEB. MAQUINAS;8
EN EL MUNICIPI;2019;623;1;RECUPERACION Y COM. RESIDUOS SIN ESTABL.;1
EN EL MUNICIPI;2019;6911;1;REPARACION ART. ELECTRODOMESTICOS;5
EN EL MUNICIPI;2019;6912;1;REPARACION AUTOMOVILES Y BICICLETAS;26
EN EL MUNICIPI;2019;692;1;REPARACION DE MAQUINARIA INDUSTRIAL;17
EN EL MUNICIPI;2019;6919;1;REPARACION OTROS BIENES CONSUMO NCOP;7
EN EL MUNICIPI;2019;6714;1;RESTAURANTES DE DOS TENEDORES;3
