CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-04002;426;PAKISTAN;4;4
S-04002;351;VENEÇUELA;7;6
S-04003;351;VENEÇUELA;3;5
S-04003;321;HONDURES;3;5
S-04003;108;ESPANYA;726;751
S-04003;;ALTRES;31;33
S-04004;407;XINA;17;21
S-04004;348;PERU;3;5
S-04004;108;ESPANYA;1.053;1.124
S-04004;315;CUBA;3;5
S-04004;347;PARAGUAI;3;3
S-04004;228;MARROC;8;7
S-04004;115;ITALIA;8;6
S-04004;426;PAKISTAN;9;5
S-04004;351;VENEÇUELA;3;9
S-04004;;ALTRES;32;33
S-04005;407;XINA;6;4
S-04005;110;FRANÇA;4;3
S-04005;108;ESPANYA;894;949
S-04005;228;MARROC;5;5
S-04005;342;BRASIL;3;4
S-04005;345;EQUADOR;4;3
S-04005;128;ROMANIA;8;5
S-04005;115;ITALIA;3;3
S-04005;;ALTRES;35;23
S-04006;228;MARROC;6;5
S-04006;108;ESPANYA;1.210;1.218
S-04006;351;VENEÇUELA;4;9
S-04006;;ALTRES;56;41
S-04006;115;ITALIA;3;6
S-04006;343;COLOMBIA;6;11
S-04006;410;INDIA;4;3
S-04007;;ALTRES;20;16
S-04007;108;ESPANYA;651;687
S-04008;;ALTRES;14;17
S-04008;317;EL SALVADOR;4;4
S-04008;426;PAKISTAN;3;3
S-04008;407;XINA;7;11
S-04008;108;ESPANYA;619;664
S-04009;108;ESPANYA;423;440
S-04009;;ALTRES;20;23
S-04009;343;COLOMBIA;3;5
S-04010;410;INDIA;5;7
S-04010;407;XINA;9;11
S-04010;340;ARGENTINA;3;6
S-04010;108;ESPANYA;554;552
S-04010;;ALTRES;32;43
S-04010;426;PAKISTAN;17;4
S-04010;228;MARROC;16;7
S-04010;351;VENEÇUELA;3;8
S-04011;228;MARROC;10;6
S-04011;426;PAKISTAN;4;6
S-04011;128;ROMANIA;11;6
S-04011;343;COLOMBIA;6;11
S-04011;340;ARGENTINA;3;5
S-04011;115;ITALIA;9;4
S-04011;;ALTRES;31;33
S-04011;407;XINA;5;8
S-04011;108;ESPANYA;682;753
S-04012;426;PAKISTAN;9;7
S-04012;228;MARROC;5;8
S-04012;108;ESPANYA;627;686
S-04012;348;PERU;4;4
S-04012;115;ITALIA;10;3
S-04012;;ALTRES;17;41
S-04012;407;XINA;5;3
S-04013;108;ESPANYA;509;557
S-04013;;ALTRES;22;26
S-04013;135;UCRAINA;3;5
S-04014;;ALTRES;28;24
S-04014;115;ITALIA;5;6
S-04014;407;XINA;3;3
S-04014;108;ESPANYA;1.171;1.178
S-04015;108;ESPANYA;638;686
S-04015;;ALTRES;11;13
S-04015;228;MARROC;10;9
S-04016;115;ITALIA;3;7
S-04016;108;ESPANYA;959;985
S-04016;;ALTRES;26;20
S-05001;126;ALEMANYA;4;4
S-05001;154;RUSSIA;4;5
S-05001;341;BOLIVIA;4;3
S-05001;108;ESPANYA;1.010;1.109
S-05001;407;XINA;3;6
S-05001;104;BULGARIA;3;3
S-05001;340;ARGENTINA;4;4
S-05001;115;ITALIA;11;6
S-05001;;ALTRES;31;33
S-05001;125;REGNE UNIT;5;4
S-05002;;ALTRES;6;8
S-05002;108;ESPANYA;353;447
S-05003;;ALTRES;50;54
S-05003;407;XINA;5;10
S-05003;108;ESPANYA;1.388;1.465
S-05003;115;ITALIA;12;10
S-05003;228;MARROC;6;3
S-05004;126;ALEMANYA;3;5
S-05004;347;PARAGUAI;5;5
S-05004;407;XINA;8;6
S-05004;115;ITALIA;7;5
S-05004;321;HONDURES;3;5
S-05004;;ALTRES;40;25
S-05004;216;GAMBIA;3;3
S-05004;108;ESPANYA;937;945
S-05005;108;ESPANYA;906;961
S-05005;;ALTRES;49;44
S-05005;135;UCRAINA;6;10
S-05005;139;GEORGIA;4;5
S-05005;407;XINA;4;4
S-05005;128;ROMANIA;3;3
S-05005;343;COLOMBIA;3;3
S-05006;108;ESPANYA;531;615
S-05006;;ALTRES;32;31
S-05006;135;UCRAINA;3;4
S-05007;108;ESPANYA;452;508
S-05007;;ALTRES;26;26
S-05007;351;VENEÇUELA;5;4
S-06001;228;MARROC;3;3
S-06001;321;HONDURES;3;3
S-06001;302;ESTATS UNITS;4;3
S-06001;;ALTRES;27;22
S-06001;108;ESPANYA;647;664
S-06002;108;ESPANYA;818;753
S-06002;351;VENEÇUELA;7;9
S-06002;426;PAKISTAN;3;3
S-06002;407;XINA;8;9
S-06002;;ALTRES;32;34
S-06003;108;ESPANYA;504;544
S-06003;139;GEORGIA;3;3
S-06003;347;PARAGUAI;3;5
S-06003;;ALTRES;18;18
S-06003;135;UCRAINA;3;3
S-06004;108;ESPANYA;544;611
S-06004;;ALTRES;5;18
S-06004;228;MARROC;8;5
S-06005;;ALTRES;13;19
S-06005;108;ESPANYA;621;658
S-06006;;ALTRES;10;14
S-06006;108;ESPANYA;456;478
S-06006;228;MARROC;7;5
S-07001;347;PARAGUAI;4;3
S-07001;218;GUINEA;3;5
S-07001;;ALTRES;23;31
S-07001;340;ARGENTINA;5;7
S-07001;426;PAKISTAN;38;22
S-07001;410;INDIA;9;7
S-07001;128;ROMANIA;14;16
S-07001;341;BOLIVIA;15;24
S-07001;228;MARROC;23;21
S-07001;108;ESPANYA;694;770
S-07001;345;EQUADOR;13;5
S-07001;135;UCRAINA;7;10
S-07001;115;ITALIA;6;5
S-07001;407;XINA;36;35
S-07001;139;GEORGIA;7;5
S-07001;321;HONDURES;11;25
S-07001;351;VENEÇUELA;8;15
S-07001;343;COLOMBIA;12;11
S-07002;115;ITALIA;5;9
S-07002;410;INDIA;5;3
S-07002;407;XINA;20;26
S-07002;;ALTRES;32;40
S-07002;351;VENEÇUELA;6;11
S-07002;347;PARAGUAI;3;3
S-07002;228;MARROC;3;8
S-07002;343;COLOMBIA;6;6
S-07002;128;ROMANIA;4;6
S-07002;108;ESPANYA;1.018;1.080
S-07003;228;MARROC;21;20
S-07003;407;XINA;14;18
S-07003;216;GAMBIA;4;4
S-07003;410;INDIA;16;6
S-07003;343;COLOMBIA;3;9
S-07003;135;UCRAINA;3;3
S-07003;139;GEORGIA;6;3
S-07003;340;ARGENTINA;4;3
S-07003;115;ITALIA;5;4
S-07003;321;HONDURES;7;17
S-07003;351;VENEÇUELA;7;9
S-07003;348;PERU;4;4
S-07003;;ALTRES;36;19
S-07003;317;EL SALVADOR;3;4
S-07003;108;ESPANYA;599;672
S-07003;345;EQUADOR;5;4
S-07003;341;BOLIVIA;9;9
S-07003;347;PARAGUAI;5;11
S-07004;;ALTRES;22;37
S-07004;351;VENEÇUELA;3;5
S-07004;115;ITALIA;6;5
S-07004;108;ESPANYA;518;556
S-07005;139;GEORGIA;12;8
S-07005;321;HONDURES;5;11
S-07005;342;BRASIL;3;6
S-07005;228;MARROC;13;15
S-07005;128;ROMANIA;3;4
S-07005;407;XINA;19;23
S-07005;410;INDIA;8;3
S-07005;108;ESPANYA;330;363
S-07005;;ALTRES;26;21
S-07005;426;PAKISTAN;20;7
S-07005;345;EQUADOR;13;6
S-07006;343;COLOMBIA;4;6
S-07006;115;ITALIA;5;3
S-07006;;ALTRES;25;32
S-07006;108;ESPANYA;468;501
S-07006;407;XINA;15;14
S-07006;135;UCRAINA;6;4
S-07007;341;BOLIVIA;5;6
S-07007;154;RUSSIA;5;10
S-07007;345;EQUADOR;7;6
S-07007;342;BRASIL;5;6
S-07007;228;MARROC;37;36
S-07007;128;ROMANIA;5;4
S-07007;321;HONDURES;10;20
S-07007;317;EL SALVADOR;5;4
S-07007;343;COLOMBIA;13;12
S-07007;407;XINA;30;19
S-07007;404;BANGLA DESH;6;4
S-07007;135;UCRAINA;6;5
S-07007;426;PAKISTAN;85;32
S-07007;108;ESPANYA;368;363
S-07007;227;MALI;10;3
S-07007;410;INDIA;19;8
S-07007;115;ITALIA;5;4
S-07007;;ALTRES;53;32
S-07008;343;COLOMBIA;6;8
S-07008;234;NIGERIA;5;3
S-07008;228;MARROC;74;62
S-07008;154;RUSSIA;7;9
S-07008;108;ESPANYA;510;496
S-07008;348;PERU;6;3
S-07008;321;HONDURES;9;28
S-07008;407;XINA;42;38
S-07008;426;PAKISTAN;99;61
S-07008;148;ARMENIA;9;3
S-07008;326;REPUBLICA DOMINICANA;4;5
S-07008;;ALTRES;33;26
S-07008;135;UCRAINA;6;9
S-07008;404;BANGLA DESH;20;11
S-07008;345;EQUADOR;12;13
S-07008;410;INDIA;20;16
S-07008;347;PARAGUAI;4;5
S-07008;139;GEORGIA;6;3
S-07008;128;ROMANIA;11;9
S-07008;341;BOLIVIA;3;9
S-07009;410;INDIA;19;13
S-07009;321;HONDURES;4;10
S-07009;;ALTRES;45;47
S-07009;426;PAKISTAN;10;4
S-07009;407;XINA;8;9
S-07009;128;ROMANIA;5;7
S-07009;228;MARROC;28;31
S-07009;154;RUSSIA;3;4
S-07009;108;ESPANYA;701;736
S-07009;115;ITALIA;5;4
S-07010;343;COLOMBIA;4;6
S-07010;;ALTRES;34;26
S-07010;321;HONDURES;13;16
S-07010;135;UCRAINA;4;5
S-07010;108;ESPANYA;336;369
S-07010;341;BOLIVIA;3;8
S-07010;407;XINA;15;11
S-07010;426;PAKISTAN;32;12
S-07010;228;MARROC;36;21
S-07011;228;MARROC;38;40
S-07011;321;HONDURES;6;18
S-07011;351;VENEÇUELA;6;7
S-07011;426;PAKISTAN;20;9
S-07011;108;ESPANYA;899;964
S-07011;407;XINA;27;28
S-07011;;ALTRES;35;46
S-07011;343;COLOMBIA;4;5
S-07011;154;RUSSIA;3;5
S-07011;348;PERU;5;3
S-07013;234;NIGERIA;17;11
S-07013;203;ALGERIA;5;3
S-07013;;ALTRES;42;46
S-07013;108;ESPANYA;794;754
S-07013;407;XINA;61;60
S-07013;128;ROMANIA;14;9
S-07013;343;COLOMBIA;10;12
S-07013;348;PERU;6;7
S-07013;404;BANGLA DESH;9;4
S-07013;321;HONDURES;16;37
S-07013;426;PAKISTAN;122;78
S-07013;345;EQUADOR;17;12
S-07013;326;REPUBLICA DOMINICANA;7;3
S-07013;340;ARGENTINA;4;6
S-07013;317;EL SALVADOR;6;3
S-07013;154;RUSSIA;8;8
S-07013;228;MARROC;132;112
S-07013;410;INDIA;14;10
S-07013;115;ITALIA;3;3
S-07014;407;XINA;8;11
S-07014;154;RUSSIA;5;3
S-07014;341;BOLIVIA;6;5
S-07014;108;ESPANYA;710;726
S-07014;;ALTRES;28;39
S-07014;128;ROMANIA;7;4
S-07014;426;PAKISTAN;8;3
S-07014;228;MARROC;88;70
S-07014;404;BANGLA DESH;5;4
S-07014;115;ITALIA;4;7
S-07015;426;PAKISTAN;56;28
S-07015;139;GEORGIA;4;3
S-07015;228;MARROC;82;74
S-07015;128;ROMANIA;5;5
S-07015;404;BANGLA DESH;7;5
S-07015;108;ESPANYA;352;354
S-07015;;ALTRES;18;31
S-07015;410;INDIA;17;10
S-07015;407;XINA;19;28
S-07017;128;ROMANIA;17;14
S-07017;426;PAKISTAN;214;117
S-07017;342;BRASIL;6;7
S-07017;407;XINA;67;51
S-07017;326;REPUBLICA DOMINICANA;9;4
S-07017;228;MARROC;171;111
S-07017;115;ITALIA;4;5
S-07017;;ALTRES;69;31
S-07017;135;UCRAINA;11;8
S-07017;154;RUSSIA;5;6
S-07017;348;PERU;13;6
S-07017;410;INDIA;30;21
S-07017;108;ESPANYA;1.043;1.175
S-07017;404;BANGLA DESH;32;19
S-07017;321;HONDURES;24;36
S-07017;343;COLOMBIA;9;4
S-07017;345;EQUADOR;25;19
S-07017;234;NIGERIA;9;6
S-07017;341;BOLIVIA;21;19
S-07017;220;GUINEA EQUATORIAL;3;3
S-07018;108;ESPANYA;696;703
S-07018;348;PERU;4;5
S-07018;;ALTRES;11;17
S-07020;321;HONDURES;6;15
S-07020;410;INDIA;4;6
S-07020;407;XINA;25;21
S-07020;108;ESPANYA;548;649
S-07020;348;PERU;6;7
S-07020;;ALTRES;40;28
S-07020;154;RUSSIA;3;6
S-07020;343;COLOMBIA;4;3
S-07020;228;MARROC;13;11
S-07020;426;PAKISTAN;12;11
S-07021;343;COLOMBIA;5;5
S-07021;154;RUSSIA;3;3
S-07021;321;HONDURES;3;9
S-07021;;ALTRES;31;26
S-07021;228;MARROC;17;13
S-07021;108;ESPANYA;360;420
S-07021;135;UCRAINA;3;3
S-07021;407;XINA;21;21
S-07022;;ALTRES;29;30
S-07022;407;XINA;8;8
S-07022;154;RUSSIA;5;5
S-07022;139;GEORGIA;3;6
S-07022;108;ESPANYA;305;354
S-07023;108;ESPANYA;908;970
S-07023;154;RUSSIA;6;8
S-07023;135;UCRAINA;4;7
S-07023;115;ITALIA;9;7
S-07023;340;ARGENTINA;5;10
S-07023;;ALTRES;27;39
S-07023;228;MARROC;4;4
S-07023;139;GEORGIA;4;4
S-07023;407;XINA;16;18
S-07023;321;HONDURES;6;8
S-07024;115;ITALIA;4;9
S-07024;347;PARAGUAI;3;7
S-07024;228;MARROC;38;19
S-07024;341;BOLIVIA;8;8
S-07024;321;HONDURES;6;8
S-07024;426;PAKISTAN;12;7
S-07024;317;EL SALVADOR;5;4
S-07024;407;XINA;8;8
S-07024;;ALTRES;22;25
S-07024;340;ARGENTINA;3;3
S-07024;343;COLOMBIA;10;5
S-07024;108;ESPANYA;774;789
S-07024;351;VENEÇUELA;10;19
S-07024;323;NICARAGUA;6;5
S-07024;345;EQUADOR;6;8
S-07024;128;ROMANIA;7;8
S-07024;410;INDIA;11;8
S-07028;410;INDIA;8;7
S-07028;348;PERU;6;5
S-07028;148;ARMENIA;3;5
S-07028;347;PARAGUAI;4;5
S-07028;321;HONDURES;15;27
S-07028;128;ROMANIA;5;7
S-07028;341;BOLIVIA;15;13
S-07028;;ALTRES;38;27
S-07028;343;COLOMBIA;7;5
S-07028;345;EQUADOR;14;10
S-07028;228;MARROC;30;33
S-07028;115;ITALIA;4;3
S-07028;407;XINA;47;46
S-07028;351;VENEÇUELA;7;6
S-07028;139;GEORGIA;4;4
S-07028;108;ESPANYA;764;811
S-07028;426;PAKISTAN;74;52
S-07029;228;MARROC;5;4
S-07029;108;ESPANYA;941;953
S-07029;;ALTRES;23;41
S-07030;;ALTRES;13;14
S-07030;108;ESPANYA;940;923
S-07030;128;ROMANIA;4;3
S-07030;407;XINA;9;6
S-07030;345;EQUADOR;5;4
S-07031;108;ESPANYA;587;619
S-07031;;ALTRES;11;17
S-08001;341;BOLIVIA;7;9
S-08001;108;ESPANYA;966;939
S-08001;128;ROMANIA;6;8
S-08001;404;BANGLA DESH;31;12
S-08001;228;MARROC;129;95
S-08001;407;XINA;137;120
S-08001;317;EL SALVADOR;4;5
S-08001;351;VENEÇUELA;5;6
S-08001;;ALTRES;30;38
S-08001;426;PAKISTAN;64;50
S-08001;326;REPUBLICA DOMINICANA;16;8
S-08001;343;COLOMBIA;12;13
S-08001;410;INDIA;59;29
S-08001;135;UCRAINA;3;8
S-08001;321;HONDURES;10;21
S-08001;348;PERU;5;6
S-08001;345;EQUADOR;17;5
S-08002;321;HONDURES;11;22
S-08002;407;XINA;47;38
S-08002;108;ESPANYA;1.042;1.134
S-08002;;ALTRES;40;47
S-08002;345;EQUADOR;9;7
S-08002;410;INDIA;15;4
S-08002;154;RUSSIA;3;5
S-08002;326;REPUBLICA DOMINICANA;6;5
S-08002;404;BANGLA DESH;17;8
S-08002;343;COLOMBIA;6;8
S-08002;228;MARROC;18;17
S-08003;426;PAKISTAN;12;9
S-08003;341;BOLIVIA;5;12
S-08003;410;INDIA;12;11
S-08003;404;BANGLA DESH;6;8
S-08003;321;HONDURES;4;7
S-08003;;ALTRES;47;38
S-08003;407;XINA;19;21
S-08003;128;ROMANIA;6;8
S-08003;108;ESPANYA;886;924
S-08003;228;MARROC;27;22
S-08003;345;EQUADOR;4;6
S-08004;;ALTRES;10;8
S-08004;407;XINA;32;33
S-08004;351;VENEÇUELA;5;4
S-08004;108;ESPANYA;312;349
S-08004;342;BRASIL;3;3
S-08005;108;ESPANYA;413;414
S-08005;;ALTRES;27;30
S-08005;426;PAKISTAN;19;8
S-08005;228;MARROC;14;11
S-08005;344;XILE;4;4
S-08005;407;XINA;7;9
S-08006;108;ESPANYA;724;795
S-08006;343;COLOMBIA;5;7
S-08006;228;MARROC;3;3
S-08006;;ALTRES;16;24
S-08007;108;ESPANYA;569;594
S-08007;;ALTRES;26;43
S-08007;228;MARROC;22;25
S-08007;407;XINA;24;27
S-08007;345;EQUADOR;7;7
S-08007;347;PARAGUAI;4;3
S-08007;426;PAKISTAN;18;11
S-08008;;ALTRES;24;28
S-08008;108;ESPANYA;836;842
S-08008;404;BANGLA DESH;5;3
S-08008;228;MARROC;23;18
S-08008;426;PAKISTAN;6;6
S-08008;351;VENEÇUELA;8;6
S-08008;410;INDIA;18;5
S-08008;345;EQUADOR;3;3
S-08008;407;XINA;44;45
S-08008;343;COLOMBIA;4;4
S-08008;321;HONDURES;8;7
S-08009;;ALTRES;24;30
S-08009;407;XINA;12;14
S-08009;108;ESPANYA;552;594
S-08009;410;INDIA;7;3
S-08009;128;ROMANIA;5;3
S-08011;108;ESPANYA;380;408
S-08011;;ALTRES;24;26
S-08012;;ALTRES;22;23
S-08012;343;COLOMBIA;3;6
S-08012;108;ESPANYA;1.180;1.251
S-08012;410;INDIA;5;5
S-08012;340;ARGENTINA;3;4
S-08012;407;XINA;17;14
S-08012;228;MARROC;5;9
S-08013;108;ESPANYA;472;445
S-08013;;ALTRES;10;13
S-09001;128;ROMANIA;8;7
S-09001;115;ITALIA;5;11
S-09001;345;EQUADOR;8;8
S-09001;154;RUSSIA;7;13
S-09001;407;XINA;43;43
S-09001;108;ESPANYA;650;737
S-09001;410;INDIA;11;9
S-09001;228;MARROC;61;74
S-09001;139;GEORGIA;7;12
S-09001;323;NICARAGUA;5;9
S-09001;135;UCRAINA;8;8
S-09001;351;VENEÇUELA;4;5
S-09001;343;COLOMBIA;5;7
S-09001;404;BANGLA DESH;18;11
S-09001;341;BOLIVIA;16;12
S-09001;;ALTRES;29;31
S-09001;326;REPUBLICA DOMINICANA;8;3
S-09001;348;PERU;10;9
S-09001;426;PAKISTAN;185;96
S-09001;321;HONDURES;31;50
S-09001;317;EL SALVADOR;3;7
S-09002;228;MARROC;22;24
S-09002;345;EQUADOR;3;5
S-09002;321;HONDURES;12;11
S-09002;410;INDIA;12;9
S-09002;341;BOLIVIA;9;5
S-09002;348;PERU;7;5
S-09002;426;PAKISTAN;258;124
S-09002;108;ESPANYA;615;641
S-09002;128;ROMANIA;11;9
S-09002;;ALTRES;33;25
S-09002;148;ARMENIA;4;5
S-09002;407;XINA;47;52
S-09003;326;REPUBLICA DOMINICANA;4;4
S-09003;108;ESPANYA;436;404
S-09003;343;COLOMBIA;4;3
S-09003;228;MARROC;20;20
S-09003;;ALTRES;41;36
S-09003;426;PAKISTAN;39;27
S-09003;407;XINA;20;13
