CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
02155;0801502155;CARRE;General Moragues;GENERAL MORAGUES;1;68
02160;0801502160;CARRE;General Weyler;GENERAL WEYLER;0;288
02170;0801502170;CARRE;Gènova;GENOVA;1;12
02340;0801502340;CARRE;Germà Bernabé;GERMA BERNABE;1;8
02355;0801502355;CARRE;Germà Juli;GERMA JULI;1;22
02190;0801502190;CARRE;Ginebre;GINEBRE;1;22
02200;0801502200;CARRE;Ginesta;GINESTA;1;29
02180;0801502180;CARRE;Girona;GIRONA;1;45
02210;0801502210;PSAJE;Glòria;GLORIA;1;60
02220;0801502220;CARRE;Góngora;GONGORA;13;31
02230;0801502230;CARRE;Goya;GOYA;1;22
02240;0801502240;CARRE;Gràcia;GRACIA;1;49
02255;0801502255;CARRE;Gran Bretanya;GRAN BRETANYA;0;82
02250;0801502250;CARRE;Granada;GRANADA;1;26
02260;0801502260;CARRE;Granollers;GRANOLLERS;1;14
02270;0801502270;CARRE;Gravina;GRAVINA;1;11
02275;0801502275;CARRE;Grècia;GRECIA;0;0
02285;0801502285;CARRE;Gregal;GREGAL;0;46
02280;0801502280;CARRE;Guasch;GUASCH;1;109
02290;0801502290;CARRE;Güell i Ferrer;GUELL I FERRER;0;106
02995;0801502995;CARRE;Guerau de Liost;GUERAU DE LIOST;1;18
06660;0801506660;CARRE;Guifré;GUIFRE;82;867
09211;0801509211;AVGDA;Guix;GUIX;2;24
02310;0801502310;CARRE;Guixeras;GUIXERAS;1;85
02320;0801502320;CAMI;Guixeres;GUIXERES;0;0
02330;0801502330;CARRE;Havana;HAVANA;1;34
02360;0801502360;CARRE;Hipòlit Lázaro;HIPOLITO LAZARO;1;79
02375;0801502375;CARRE;Holanda;HOLANDA;1;80
02370;0801502370;AVGDA;Hospitalet;HOSPITALET;0;0
02380;0801502380;CARRE;Huelva;HUELVA;0;11
02405;0801502405;CARRE;Ibèria;IBERIA;0;18
02410;0801502410;CARRE;Ignasi Iglésias;IGNASI IGLESIAS;0;50
02420;0801502420;CARRE;Igualada;IGUALADA;1;1
02430;0801502430;CARRE;Independència;INDEPENDENCIA;1;383
02440;0801502440;CARRE;Indústria;INDUSTRIA;1;629
02450;0801502450;CARRE;Iquique;IQUIQUE;2;46
02460;0801502460;CARRE;Iris;IRIS;1;86
02465;0801502465;CARRE;Irlanda;IRLANDA;0;0
02470;0801502470;CARRE;Isaac Albéniz;ISAAC ALBENIZ;1;43
02480;0801502480;CARRE;Isaac Peral;ISAAC PERAL;1;65
02485;0801502485;CARRE;Isidre Nonell;ISIDRE NONELL;1;26
02490;0801502490;AVGDA;Itàlia;ITALIA;0;5
02520;0801502520;PL;Jacint Verdaguer;JACINT VERDAGUER;0;0
02510;0801502510;CARRE;Jacint Verdaguer;JACINT VERDAGUER;1;30
02500;0801502500;CARRE;Jacinto Benavente;JACINTO BENAVENTE;1;36
02530;0801502530;CARRE;Jaén;JAEN;0;0
02540;0801502540;CARRE;Jaume Borràs;JAUME BORRAS;1;26
02560;0801502560;CARRE;Jaume I el Conqueridor;JAUME I EL CONQUERIDOR;1;27
02565;0801502565;CARRE;Jaume Passarell;JAUME PASSARELL;0;0
02570;0801502570;CARRE;Jaume Ribó;JAUME RIBO;0;58
02580;0801502580;CARRE;Jaume Solà;JAUME SOLA;1;11
02590;0801502590;CARRE;Jerez de la Frontera;JEREZ DE LA FRONTERA;0;17
02600;0801502600;CARRE;Jerusalem;JERUSALEM;1;24
02610;0801502610;CARRE;Jesús;JESUS;1;20
02145;0801502145;CARRE;Joan Amigó i Barriga;JOAN AMIGO I BARRIGA;0;0
01630;0801501630;CARRE;Joan d'Àustria;JOAN D'AUSTRIA;0;52
02135;0801502135;CARRE;Joan Junceda;JOAN JUNCEDA;0;0
02138;0801502138;PL;Joan Miró;JOAN MIRO;1;16
02140;0801502140;CARRE;Joan Peiró;JOAN PEIRO;0;76
02675;0801502675;CARRE;Joan Vidal i Prat;JOAN VIDAL I PRAT;0;0
02650;0801502650;AVGDA;Joan XXIII;JOAN XXIII;1;57
01975;0801501975;PL;Joaquim Font i Cussó;FONT I CUSSO;1;4
02635;0801502635;CARRE;Joaquim Ruyra;JOAQUIM RUYRA;1;22
02618;0801502618;CARRE;Joaquim Vayreda;JOAQUIM VAYREDA;1;44
02690;0801502690;CARRE;Jocs Florals;JOCS FLORALS;1;42
02670;0801502670;CARRE;Johann Sebastian Bach;JOAN SEBASTIA BACH;1;28
02625;0801502625;CARRE;John Lennon;JOHN LENNON;0;47
02630;0801502630;PSAJE;José María de Pereda;JOSEP M DE PEREDA;1;22
09318;0801509318;PSAJE;Josep Gironés;JOSEP GIRONES;1;23
09080;0801509080;CARRE;Josep Maria Cuyàs i Tolosa;JOSEP MARIA CUYAS I TOLOSA;1;16
05055;0801505055;CARRE;Josep Maria de Sagarra;JOSEP M DE SEGARRA;1;35
02633;0801502633;CARRE;Josep Maria Sert;JOSEP MARIA SERT;1;38
08515;0801508515;CARRE;Josep Vicenç Foix;JOSEP VICENÇ FOIX;0;37
02640;0801502640;CARRE;Jovellar;JOVELLAR;1;20
02660;0801502660;CARRE;Juan de la Cierva;JUAN DE LA CIERVA;1;35
02680;0801502680;CARRE;Juan Valera;JUAN VALERA;1;248
02710;0801502710;CARRE;Juli Garreta;JULI GARRETA;0;8
00485;0801500485;CARRE;Julián Gayarre;JULIAN GAYARRE;1;17
02700;0801502700;CARRE;Julio Galve Brusson;JULI GALVE BRUSSON;1;127
07061;0801507061;CARRE;Jumella;JUMILLA;32;58
02730;0801502730;CARRE;Júpiter;JUPITER;1;15
02770;0801502770;CARRE;Laietània;LAIETANIA;1;39
03680;0801503680;CARRE;Las Navas de Tolosa;NAVAS DE TOLOSA;1;23
02760;0801502760;CARRE;Latrilla;LATRILLA;1;38
02800;0801502800;CARRE;Lepant;LEPANT;1;66
02820;0801502820;CARRE;Linares;LINARES;1;11
02830;0801502830;CARRE;Liszt;LISZT;1;115
02825;0801502825;CARRE;Lituània;LITUANIA;1;38
02870;0801502870;CARRE;Lladó;LLADO;1;73
00505;0801500505;BARRI;Llefia;LLEFIA;0;4
02880;0801502880;CARRE;Llefià;LLEFIA;0;69
02810;0801502810;CARRE;Lleida;LLEIDA;1;38
02785;0801502785;AVGDA;Llenguadoc;LLENGUADOC;0;0
02780;0801502780;CARRE;Lleó;LLEO;0;121
02790;0801502790;CARRE;Lleó Fontova;LLEO FONTOVA;1;76
01320;0801501320;CARRE;Llibertat;LLIBERTAT;1;44
02890;0801502890;CARRE;Llimoners;LLIMONERS;2;8
02900;0801502900;AVGDA;Lloreda;LLOREDA;0;132
02902;0801502902;PL;Lloreda;LLOREDA;0;0
